open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source
2021-12-28 06:00:00,3921.26,3935.05,3913.08,3922.25,8532.003,2021-12-28 06:59:59.999,33484734.365008,24748.0,4165.4849,16348895.428333,binance
2021-12-28 07:00:00,3922.26,3929.77,3900.0,3917.0,10148.2065,2021-12-28 07:59:59.999,39704572.80594,23298.0,4706.3664,18418663.860489,binance
2021-12-28 08:00:00,3917.01,3933.98,3900.0,3917.28,12497.8718,2021-12-28 08:59:59.999,48993493.648125,28641.0,6366.5426,24960760.266531,binance
2021-12-28 09:00:00,3917.27,3922.55,3883.0,3886.28,13569.8719,2021-12-28 09:59:59.999,52945203.705706,31276.0,6006.8194,23441899.543638,binance
2021-12-28 10:00:00,3885.85,3908.14,3885.72,3902.43,12299.8781,2021-12-28 10:59:59.999,47974128.739361,26005.0,5542.8877999999995,21619063.015137002,binance
2021-12-28 11:00:00,3902.43,3923.39,3893.85,3920.9,9665.8382,2021-12-28 11:59:59.999,37830936.807893,21904.0,5582.4502,21853678.207461,binance
2021-12-28 12:00:00,3920.89,3932.28,3906.02,3907.35,8288.5119,2021-12-28 12:59:59.999,32480376.249872,19574.0,3857.9019,15120307.887048,binance
2021-12-28 13:00:00,3907.35,3929.62,3902.86,3908.8,9310.694,2021-12-28 13:59:59.999,36460086.404762,23385.0,5414.9062,21209040.555502,binance
2021-12-28 14:00:00,3908.8,3916.49,3850.14,3911.55,27909.376500000002,2021-12-28 14:59:59.999,108618200.859222,54242.0,12472.0905,48546517.507047996,binance
2021-12-28 15:00:00,3911.54,3922.86,3894.39,3897.9,8214.877,2021-12-28 15:59:59.999,32096513.777079,22320.0,3953.6862,15447257.957303,binance
2021-12-28 16:00:00,3897.91,3902.17,3830.0,3864.35,23634.7431,2021-12-28 16:59:59.999,91248510.97376099,55872.0,11019.2922,42547014.350255,binance
2021-12-28 17:00:00,3864.35,3866.18,3777.77,3827.47,36165.3785,2021-12-28 17:59:59.999,137850915.508781,79506.0,14457.8276,55122014.760281,binance
2021-12-28 18:00:00,3827.54,3827.55,3785.0,3800.02,14896.396999999999,2021-12-28 18:59:59.999,56644419.573763,35951.0,6939.3117,26385542.159095,binance
2021-12-28 19:00:00,3800.01,3815.71,3759.36,3807.96,15786.9233,2021-12-28 19:59:59.999,59769819.717493,41421.0,7627.3912,28887530.125175,binance
2021-12-28 20:00:00,3807.96,3844.44,3791.23,3827.19,14356.0855,2021-12-28 20:59:59.999,54783483.485915,31062.0,8597.166,32789797.58077,binance
2021-12-28 21:00:00,3827.18,3837.65,3804.09,3807.03,7472.4138,2021-12-28 21:59:59.999,28552099.04336,20133.0,3216.5816,12293530.183969,binance
2021-12-28 22:00:00,3807.03,3817.8,3792.47,3810.62,7172.0084,2021-12-28 22:59:59.999,27293802.991888,21914.0,3333.9223,12690113.370904,binance
2021-12-28 23:00:00,3810.61,3819.16,3790.0,3792.75,6659.4563,2021-12-28 23:59:59.999,25350311.684622,17655.0,2977.6923,11337060.364178,binance
2021-12-29 00:00:00,3792.75,3821.02,3785.0,3818.07,10295.3065,2021-12-29 00:59:59.999,39178111.47649,24471.0,5474.666,20829240.809595,binance
